OIS_DATE,OIS_YEAR,SP_WEAPON,SP_INJURY_LEVEL,FATALITY_FLG,SP_GENDER,SIMPLE_SUBJ_RE_GRP,SP_AGE_GROUP,SUBJECT_COUNT
09/13/2020,2020,Vehicle,Injured,Non-fatal,Male,Hispanic,<20,4
03/05/2023,2023,Firearm,Fatal,Fatal,Male,Hispanic,40s,1
03/13/2020,2020,Bladed Object,Injured,Non-fatal,Male,Hispanic,20s,1
08/01/2023,2023,Firearm,Injured,Non-fatal,Male,Black or African American,20s,1
06/28/2023,2023,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
02/22/2023,2023,Firearm,Self-Inflicted Fatal,Non-fatal,Male,Black or African American,40s,1
05/29/2022,2022,Firearm,Fatal,Fatal,Male,White,50s,1
06/27/2022,2022,Firearm,Fatal,Fatal,Male,Black or African American,30s,1
04/28/2020,2020,Firearm,Self-Inflicted Fatal,Non-fatal,Male,White,30s,1
11/11/2019,2019,Bladed Object,Injured,Non-fatal,Male,Other,20s,1
01/17/2018,2018,Bladed Object,Fatal,Fatal,Male,White,20s,1
05/09/2022,2022,Blunt Object,Injured,Non-fatal,Male,Hispanic,40s,1
08/17/2017,2017,Bladed Object,Fatal,Fatal,Male,Hispanic,20s,1
11/30/2020,2020,Firearm,Fatal,Fatal,Male,Black or African American,30s,1
05/14/2023,2023,Firearm,No injury,Non-fatal,Male,Hispanic,30s,1
05/21/2020,2020,Firearm,Fatal,Fatal,Male,White,40s,1
04/14/2018,2018,Firearm,Fatal,Fatal,Male,Hispanic,40s,1
02/16/2018,2018,Firearm,Injured,Non-fatal,Male,Hispanic,30s,1
04/12/2017,2017,Vehicle,Fatal,Fatal,Male,White,30s,1
11/06/2022,2022,Firearm,No Injury,Non-fatal,Male,Black or African American,<20,1
03/15/2017,2017,Firearm,Fatal,Fatal,Male,White,20s,1
08/27/2018,2018,Firearm,Fatal,Fatal,Male,White,20s,1
09/22/2018,2018,Firearm,Injured,Non-fatal,Male,Hispanic,40s,1
01/03/2023,2023,Bladed Object,Fatal,Fatal,Male,Hispanic,40s,1
05/19/2019,2019,Firearm,Fatal,Fatal,Male,Other,<20,1
12/03/2022,2022,Bladed Object,Injured,Non-fatal,Male,White,50s,1
04/04/2018,2018,Firearm,Fatal,Fatal,Female,White,40s,1
07/23/2018,2018,Firearm,No Injury,Non-fatal,Male,White,70s,1
07/15/2022,2022,Firearm,Injured,Non-fatal,Male,Black or African American,20s,1
06/14/2018,2018,Firearm,No Injury,Non-fatal,Male,Black or African American,30s,1
09/10/2022,2022,Bladed Object,Fatal,Fatal,Male,White,40s,1
08/05/2018,2018,Firearm,Injured,Non-fatal,Male,Black or African American,30s,1
01/07/2023,2023,Firearm,Fatal,Fatal,Male,Black or African American,30s,1
08/19/2020,2020,Firearm,Injured,Non-fatal,Female,Other,20s,1
04/01/2023,2023,Firearm,Fatal,Fatal,Male,White,70s,1
05/24/2018,2018,Firearm,Injured,Non-fatal,Male,White,40s,1
03/09/2018,2018,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
04/20/2023,2023,Firearm,Injured,Non-fatal,Male,White,30s,1
09/20/2017,2017,Firearm,Injured,Non-fatal,Male,White,30s,1
09/08/2017,2017,Firearm,Injured,Non-fatal,Male,White,<20,1
11/13/2020,2020,Firearm,Injured,Non-fatal,Male,Black or African American,30s,1
01/06/2022,2022,Firearm,Injured,Non-fatal,Male,Black or African American,30s,1
01/09/2017,2017,Firearm,Fatal,Fatal,Male,Black or African American,30s,1
02/01/2018,2018,Firearm,No Injury,Non-fatal,Male,Hispanic,<20,1
03/02/2018,2018,Firearm,Fatal,Fatal,Male,White,40s,1
11/10/2017,2017,Bladed Object,Fatal,Fatal,Male,Black or African American,40s,1
11/03/2019,2019,Firearm,Fatal,Fatal,Male,Black or African American,30s,1
02/21/2018,2018,Firearm,Self-Inflicted Fatal,Non-fatal,Male,Black or African American,30s,1
06/16/2020,2020,Firearm,Fatal,Fatal,Male,Black or African American,20s,1
12/23/2019,2019,Firearm,Fatal,Fatal,Male,Hispanic,30s,1
